time,open,high,low,close,volume
31 Dec 2020 23:30:0,29062.91,29143.73,29045.75,29100.84,620.923147
31 Dec 2020 23:0:0,28966.36,29109.97,28910.19,29062.91,817.583179
31 Dec 2020 22:30:0,29094.71,29169.55,28950.1,28966.36,1215.952559
31 Dec 2020 22:0:0,29126.71,29145,28900.79,29094.71,1308.520552
31 Dec 2020 21:30:0,28887.39,29139.65,28872.23,29126.7,1234.133415
31 Dec 2020 21:0:0,28897.84,28989.97,28862,28886.6,702.346884
31 Dec 2020 20:30:0,28926.39,29000,28860.92,28897.83,1147.00542
31 Dec 2020 20:0:0,28872.24,28943.92,28742.41,28926.39,1146.815919
31 Dec 2020 19:30:0,28749,28898,28724.82,28872.25,1395.405616
31 Dec 2020 19:0:0,28571.97,28758.15,28424.56,28749,1184.013792
31 Dec 2020 18:30:0,28644.3,28723.68,28520,28571.97,1059.353171
31 Dec 2020 18:0:0,28382.47,28685,28362,28644.3,1376.203817
31 Dec 2020 17:30:0,28641.23,28694.71,28311,28380.6,1577.300235
31 Dec 2020 17:0:0,28782.01,28822.59,28555,28641.22,1393.081171
31 Dec 2020 16:30:0,28562.55,28840.26,28562.52,28770,1889.376147
31 Dec 2020 16:0:0,28371.52,28633,28369.53,28562.55,1904.221058
31 Dec 2020 15:30:0,28214.49,28444.2,28119.99,28371.51,1497.558955
31 Dec 2020 15:0:0,28519.25,28523.47,28111.25,28214.5,2127.059576
31 Dec 2020 14:30:0,28355.01,28566.68,28335.57,28519,1775.520813
31 Dec 2020 14:0:0,28617.65,28635.9,27850,28355.01,5934.508839
31 Dec 2020 13:30:0,28848.94,28950,28400,28617.6,2866.527425
31 Dec 2020 13:0:0,28910.29,28989.03,28800,28848.91,1602.374576
31 Dec 2020 12:30:0,29007.29,29112.65,28888.43,28910.3,1072.302087
31 Dec 2020 12:0:0,29136.49,29140,28902.71,29007.29,1076.38235
31 Dec 2020 11:30:0,29103.73,29168.37,29050.84,29136.49,874.415918
31 Dec 2020 11:0:0,28989.99,29158.85,28960.17,29102.85,1158.323926
31 Dec 2020 10:30:0,28857.31,29067.82,28845.01,28989.99,1150.066916
31 Dec 2020 10:0:0,28926.32,28946.74,28580,28857.31,1804.142538
31 Dec 2020 9:30:0,28857.99,29016.14,28806.81,28926.31,1235.896997
31 Dec 2020 9:0:0,29155.24,29210.83,28780,28858,2136.952198
