time,open,high,low,close,volume
31 Oct 2020 23:57:0,13865.66,13874,13864.88,13866.99,22.00379
31 Oct 2020 23:54:0,13863.16,13867.76,13848.59,13865.66,48.194133
31 Oct 2020 23:51:0,13873.96,13874.3,13860.11,13863.16,39.796943
31 Oct 2020 23:48:0,13878.57,13885.57,13860.14,13873.8,86.126249
31 Oct 2020 23:45:0,13880.36,13890,13875.16,13878.57,128.636352
31 Oct 2020 23:42:0,13869.87,13882.04,13869.73,13880.35,113.937714
31 Oct 2020 23:39:0,13862.88,13869.99,13861.97,13869.86,26.962989
31 Oct 2020 23:36:0,13871.01,13872.96,13861.08,13862.89,65.553388
31 Oct 2020 23:33:0,13855.75,13872,13854.14,13871.01,125.892056
31 Oct 2020 23:30:0,13846.81,13856.99,13844,13855.75,123.544701
31 Oct 2020 23:27:0,13849.98,13850,13841.43,13846.81,76.681836
31 Oct 2020 23:24:0,13843.94,13850,13843.94,13849.99,124.690652
31 Oct 2020 23:21:0,13833.23,13844.67,13833.23,13843.94,45.582866
31 Oct 2020 23:18:0,13825,13834.19,13822.26,13833.23,20.264919
31 Oct 2020 23:15:0,13820.48,13825,13816.38,13825,57.754219
31 Oct 2020 23:12:0,13824.11,13824.76,13819.44,13820.48,30.317621
31 Oct 2020 23:9:0,13826.11,13828.9,13823.42,13823.78,29.758609
31 Oct 2020 23:6:0,13827.9,13830.47,13825.33,13826.11,21.847576
31 Oct 2020 23:3:0,13825.5,13829.3,13820.9,13827.9,60.491486
31 Oct 2020 23:0:0,13838.83,13838.83,13824.84,13825.51,105.126452
31 Oct 2020 22:57:0,13838.72,13839.7,13837,13838.82,115.926771
31 Oct 2020 22:54:0,13840.37,13841.11,13837.49,13838.73,35.182752
31 Oct 2020 22:51:0,13841,13842.04,13837.51,13840.36,57.993462
31 Oct 2020 22:48:0,13834.83,13841.59,13832.86,13841,72.021323
31 Oct 2020 22:45:0,13832.79,13840,13832.79,13834.84,45.935744
31 Oct 2020 22:42:0,13815.42,13836.03,13812.43,13832.79,53.307571
31 Oct 2020 22:39:0,13819.23,13820.04,13815.33,13815.42,14.281649
31 Oct 2020 22:36:0,13824.88,13824.92,13814.62,13819.24,41.714884
31 Oct 2020 22:33:0,13836.27,13836.27,13823.69,13824.85,30.241661
31 Oct 2020 22:30:0,13830.24,13836.88,13830.09,13836.27,36.621981
31 Oct 2020 22:27:0,13815.92,13830.9,13815.92,13829.95,41.814289
31 Oct 2020 22:24:0,13831.32,13831.32,13813.22,13815.93,38.17733
31 Oct 2020 22:21:0,13836.82,13837.75,13830.96,13831.33,16.415807
31 Oct 2020 22:18:0,13836.58,13838.26,13834.96,13836.82,25.83702
31 Oct 2020 22:15:0,13839.33,13839.46,13833.24,13836.57,28.792365
31 Oct 2020 22:12:0,13837.98,13841.58,13835.41,13839.34,21.628526
31 Oct 2020 22:9:0,13815.31,13846.04,13814.19,13837.98,77.394025
31 Oct 2020 22:6:0,13820.5,13821.48,13807.44,13815.31,44.061497
31 Oct 2020 22:3:0,13823.35,13836.94,13809.33,13820.49,58.230763
31 Oct 2020 22:0:0,13837.99,13848.22,13821,13823.36,134.989064
31 Oct 2020 21:57:0,13824.99,13839.4,13824.99,13837.98,64.801472
31 Oct 2020 21:54:0,13826.53,13828.93,13819.5,13824.99,34.593276
31 Oct 2020 21:51:0,13827.8,13829.91,13822.19,13826.52,61.428178
31 Oct 2020 21:48:0,13813.7,13831.88,13813.7,13828.07,109.598019
31 Oct 2020 21:45:0,13795.21,13819.69,13793.99,13813.71,82.757784
31 Oct 2020 21:42:0,13811.61,13816.43,13793.99,13795.23,66.182503
31 Oct 2020 21:39:0,13823,13825,13798.06,13811.76,56.423776
31 Oct 2020 21:36:0,13818.29,13824.9,13816.53,13823.01,43.539506
31 Oct 2020 21:33:0,13820,13824.18,13813.17,13818.29,74.083664
31 Oct 2020 21:30:0,13807.15,13823.62,13803.4,13820,199.23669
31 Oct 2020 21:27:0,13792.47,13808.67,13786.5,13807.15,98.060743
31 Oct 2020 21:24:0,13780.38,13799.32,13780.38,13792.48,50.509558
31 Oct 2020 21:21:0,13782.4,13793.03,13766.78,13780.39,67.528395
31 Oct 2020 21:18:0,13779.11,13789.8,13770,13782.41,42.216674
31 Oct 2020 21:15:0,13789.8,13800,13777.51,13779.08,54.294211
31 Oct 2020 21:12:0,13781.53,13789.8,13773.51,13789.8,43.074804
31 Oct 2020 21:9:0,13787.52,13793.88,13780.91,13781.52,28.552267
31 Oct 2020 21:6:0,13770.76,13796.97,13770.76,13787.52,72.217905
31 Oct 2020 21:3:0,13759.37,13776.63,13756.02,13770.77,51.008345
31 Oct 2020 21:0:0,13781.87,13781.87,13745.39,13759.37,115.314335
31 Oct 2020 20:57:0,13791.6,13792.93,13770.5,13781.87,55.71002
31 Oct 2020 20:54:0,13805.91,13807.49,13790,13791.61,109.069518
31 Oct 2020 20:51:0,13779.36,13809.89,13777.69,13805.9,160.559161
31 Oct 2020 20:48:0,13767.44,13780,13767.43,13779.35,60.628322
31 Oct 2020 20:45:0,13779.34,13779.35,13767.43,13767.44,48.691532
31 Oct 2020 20:42:0,13780,13780,13775.63,13779.34,41.033801
31 Oct 2020 20:39:0,13763.13,13780,13763.13,13779.99,41.663335
31 Oct 2020 20:36:0,13778.69,13780,13761.49,13763.13,65.886157
31 Oct 2020 20:33:0,13773.09,13778.89,13767.52,13778.68,64.760161
31 Oct 2020 20:30:0,13772.82,13777.25,13759.99,13773.1,65.631828
31 Oct 2020 20:27:0,13770.11,13779,13767.44,13772.81,109.574152
31 Oct 2020 20:24:0,13749.7,13770.7,13742.58,13770.12,72.187748
31 Oct 2020 20:21:0,13743.6,13755.75,13742.03,13749.7,41.884193
31 Oct 2020 20:18:0,13743.01,13756.47,13740.51,13743.6,114.669354
31 Oct 2020 20:15:0,13723.73,13744.78,13723.46,13743.07,87.625118
31 Oct 2020 20:12:0,13712.39,13726.72,13706.02,13723.2,83.414594
31 Oct 2020 20:9:0,13691.99,13712.79,13691.99,13712.4,220.458414
