time,open,high,low,close,volume
31 Oct 2020 23:0:0,13838.83,13890,13816.38,13866.99,1353.164551
31 Oct 2020 22:0:0,13837.99,13848.22,13807.44,13838.82,990.568484
31 Oct 2020 21:0:0,13781.87,13839.4,13745.39,13837.98,1415.422105
31 Oct 2020 20:0:0,13717.11,13809.89,13675.13,13781.87,1913.986674
31 Oct 2020 19:0:0,13778.27,13778.27,13700,13717.1,1966.502319
31 Oct 2020 18:0:0,13818.49,13819.47,13732.48,13778.29,1678.222043
31 Oct 2020 17:0:0,13852.01,13883.55,13799.71,13818.49,1762.341984
31 Oct 2020 16:0:0,13811.46,13882.18,13730,13852.02,2487.917491
31 Oct 2020 15:0:0,13860.96,13870,13775,13811.47,2471.385221
31 Oct 2020 14:0:0,13878.5,13930,13818.24,13860.96,2252.346145
31 Oct 2020 13:0:0,13940,13941.21,13855.41,13878.5,3117.156705
31 Oct 2020 12:0:0,13821.72,13950,13805,13940,3290.936145
31 Oct 2020 11:0:0,13893.23,14100,13572.4,13821.72,13424.037423
31 Oct 2020 10:0:0,13739.95,13956.22,13721.9,13893.24,6326.261609
31 Oct 2020 9:0:0,13576.14,13840,13575,13739.94,7402.080279
31 Oct 2020 8:0:0,13612.05,13613.87,13550.73,13576.14,1192.674489
31 Oct 2020 7:0:0,13473.26,13612.05,13463.87,13612.05,1472.040878
31 Oct 2020 6:0:0,13516.17,13525.99,13473.1,13473.26,880.245124
31 Oct 2020 5:0:0,13491.55,13518.66,13452.5,13516.16,1020.097044
31 Oct 2020 4:0:0,13611.71,13621.95,13411.5,13491.54,3014.720667
31 Oct 2020 3:0:0,13636.15,13740,13559.74,13611.72,3013.520704
31 Oct 2020 2:0:0,13615.27,13657.16,13571.3,13636.14,1432.405584
31 Oct 2020 1:0:0,13560.1,13648,13511.45,13615.06,1793.382087
31 Oct 2020 0:0:0,13553.1,13637,13535.05,13560.1,1434.184391
30 Oct 2020 23:0:0,13547.45,13600,13529,13553.09,1144.799593
30 Oct 2020 22:0:0,13625.94,13638.29,13466,13547.45,2112.027067
30 Oct 2020 21:0:0,13536.44,13666.66,13510,13625.92,3427.633786
30 Oct 2020 20:0:0,13524.51,13540.95,13480,13536.44,1759.971313
30 Oct 2020 19:0:0,13518.26,13553.8,13488.5,13524.51,1675.465617
30 Oct 2020 18:0:0,13522.18,13569,13462.41,13518.25,2295.102776
30 Oct 2020 17:0:0,13549.6,13582,13492.36,13522.27,3476.505214
30 Oct 2020 16:0:0,13351.67,13550,13351.31,13549.98,5088.468794
30 Oct 2020 15:0:0,13263.29,13365.52,13253.21,13351.67,2705.797463
30 Oct 2020 14:0:0,13328.81,13341.99,13221.35,13263.3,3052.496422
30 Oct 2020 13:0:0,13347.8,13363.73,13275,13328.81,2493.641327
30 Oct 2020 12:0:0,13301.61,13369.47,13246.81,13347.79,2480.60479
30 Oct 2020 11:0:0,13277.04,13338.96,13210.86,13301.62,2822.142274
30 Oct 2020 10:0:0,13242.49,13298.43,13147.66,13277.05,3228.077345
30 Oct 2020 9:0:0,13218.96,13338.85,13188.91,13242.48,3603.382745
30 Oct 2020 8:0:0,13201.99,13261.22,13115,13218.96,3618.574721
30 Oct 2020 7:0:0,13181.56,13293.8,13146.48,13201.99,4678.131683
30 Oct 2020 6:0:0,13420.87,13497.74,13174.52,13181.57,5255.347778
30 Oct 2020 5:0:0,13432.34,13467.35,13379.22,13420.88,1627.566519
30 Oct 2020 4:0:0,13458.45,13514.64,13400.1,13432.34,2453.218108
30 Oct 2020 3:0:0,13561,13578,13446.34,13458.45,2807.396424
