time,open,high,low,close,volume
30 Jan 2021 17:0:0,34210.18,34400.02,33520,34286.5,13229.455441
30 Jan 2021 13:0:0,33660.4,34500,33410.63,34210.2,11980.511464
30 Jan 2021 9:0:0,34046.82,34424.7,33510,33660.4,15905.5068
30 Jan 2021 5:0:0,33273.36,34200,33001.52,34046.8,15377.313948
30 Jan 2021 1:0:0,34246.28,34933,32825,33273.36,19111.756794
29 Jan 2021 21:0:0,34322.5,35354.94,33700,34252.2,21414.721289
29 Jan 2021 17:0:0,37129.4,37569,33500,34318.57,41001.26865
29 Jan 2021 13:0:0,37023.83,38531.9,36456.78,37129.4,39582.779151
29 Jan 2021 9:0:0,32266.36,37990,32006.91,37025.32,74717.370406
29 Jan 2021 5:0:0,33728.99,33934.48,31915.4,32266.35,28364.158989
29 Jan 2021 1:0:0,33368.18,34310,33330.93,33733.58,26746.707141
28 Jan 2021 21:0:0,32564.71,33783.98,32392.34,33364.86,18820.098006
28 Jan 2021 17:0:0,31926.49,32747.78,31650,32564.71,16889.869122
28 Jan 2021 13:0:0,31437.37,32203.38,31161.96,31926.49,18406.774804
28 Jan 2021 9:0:0,31170.2,31600,30812.26,31437.37,11864.190133
28 Jan 2021 5:0:0,31406.9,31876.63,31045.7,31170.53,12487.834284
28 Jan 2021 1:0:0,30362.19,31526.78,29842.1,31404.25,14152.379268
27 Jan 2021 21:0:0,30731.57,31649.99,30084.24,30366.15,15362.535146
27 Jan 2021 17:0:0,30322.59,30948,29500,30740.33,19597.19007
27 Jan 2021 13:0:0,30635.74,31057,29241.72,30322.61,26358.946289
27 Jan 2021 9:0:0,31743.33,31749.28,30578.94,30639.05,16124.251288
27 Jan 2021 5:0:0,31801.27,32030.28,31350,31743.33,8094.668192
27 Jan 2021 1:0:0,32464.01,32557.29,31568.28,31800.86,10374.370726
26 Jan 2021 21:0:0,32208.33,32921.88,31855.71,32467.77,10046.89176
26 Jan 2021 17:0:0,31750.24,32403.88,31300.69,32208.33,14712.052128
26 Jan 2021 13:0:0,31798.65,31972.73,30837.37,31750.23,17666.57223
26 Jan 2021 9:0:0,31643.61,32450,31373,31796.95,13170.891552
26 Jan 2021 5:0:0,31520.25,32312.46,31100,31643.61,16200.732868
26 Jan 2021 1:0:0,32254.19,32827.33,31458,31518.66,13175.066372
25 Jan 2021 21:0:0,33411.54,33473.92,31910,32254.2,15722.817031
25 Jan 2021 17:0:0,34458.31,34600,33373.92,33411.54,14607.087725
25 Jan 2021 13:0:0,33185.25,34875,33050,34458.31,21109.742365
25 Jan 2021 9:0:0,33347.19,33548,32750.09,33185.26,11388.310393
25 Jan 2021 5:0:0,33568.17,33797.96,33045,33346.95,11224.751779
25 Jan 2021 1:0:0,32259.45,33674.48,32175.61,33568.18,14446.517628
24 Jan 2021 21:0:0,31306.29,32369.59,31250.26,32259.9,8934.194873
24 Jan 2021 17:0:0,31956.9,32139.6,30900,31306.29,12601.921095
24 Jan 2021 13:0:0,32833.37,32931.59,31858.68,31957.05,9939.326135
24 Jan 2021 9:0:0,32797.21,33030,32465,32833.37,7600.854471
24 Jan 2021 5:0:0,32480.06,33071,32346.44,32801.15,11135.544522
24 Jan 2021 1:0:0,32078,32480.06,31630,32480.05,7766.19687
23 Jan 2021 21:0:0,32348.78,32538.61,31812.5,32078,7357.248567
23 Jan 2021 17:0:0,31877.1,32500,31759.65,32348.79,9253.459243
23 Jan 2021 13:0:0,31643.9,32289.25,31390.16,31877.1,10854.235249
23 Jan 2021 9:0:0,32931.17,33104.94,31511.24,31645.49,13454.305895
23 Jan 2021 5:0:0,32365,33456,32267.07,32931.18,11464.516691
23 Jan 2021 1:0:0,32950,32974.89,32053.33,32365.01,12211.52203
22 Jan 2021 21:0:0,33589.52,33826.53,32580,32945.17,12101.355303
22 Jan 2021 17:0:0,32462.79,33655.79,31955.67,33589.52,17631.165195
22 Jan 2021 13:0:0,31712.09,32767.44,31286,32458.42,21741.698419
22 Jan 2021 9:0:0,30846.59,31997,30500,31710.88,21911.246263
22 Jan 2021 5:0:0,30943.4,32152.9,30615.22,30842.45,22771.825982
22 Jan 2021 1:0:0,30851.99,31029.79,28850,30943.4,46814.392887
21 Jan 2021 21:0:0,32468.66,32550,30071,30850.13,23628.525835
21 Jan 2021 17:0:0,31384.19,32751.24,31038.51,32468.66,22066.375705
21 Jan 2021 13:0:0,32206.89,32784.31,31037,31384.09,34496.344978
21 Jan 2021 9:0:0,34624.27,34681.73,32009.68,32208.62,28971.19234
21 Jan 2021 5:0:0,34572.42,35019.01,33971.41,34624.27,11645.035984
21 Jan 2021 1:0:0,35468.23,35600,34230.76,34571.09,10995.708084
20 Jan 2021 21:0:0,35197.12,35670,34482.75,35468.23,8686.60184
20 Jan 2021 17:0:0,34193.11,35311,33400,35197.12,17678.214489
20 Jan 2021 13:0:0,34426.17,35142.18,34020,34192.17,16110.185363
20 Jan 2021 9:0:0,35672.86,35939.12,34000,34426.17,19109.325555
20 Jan 2021 5:0:0,35062.49,35909.95,34737,35677.14,14008.503787
20 Jan 2021 1:0:0,35901.94,36415.31,35000,35062.49,13775.591884
19 Jan 2021 21:0:0,36281.66,36777.88,35844.06,35891.49,10237.49103
19 Jan 2021 17:0:0,37329.4,37850,36052.04,36279.82,15604.759741
19 Jan 2021 13:0:0,37263.73,37449,36610,37329.4,11966.646727
19 Jan 2021 9:0:0,37167.92,37535.27,36750,37266.49,15170.795477
19 Jan 2021 5:0:0,36468.31,37233.87,36002.01,37168.82,11299.226279
19 Jan 2021 1:0:0,36622.46,37280,36364.43,36465.3,15332.388515
18 Jan 2021 21:0:0,35951.83,36777.77,35755.01,36631.27,7472.825425
18 Jan 2021 17:0:0,36405.99,36565,35400,35956.14,10602.829967
18 Jan 2021 13:0:0,36443.91,37469.83,36047.89,36405.98,18106.506954
18 Jan 2021 9:0:0,36100.55,36650,35771.6,36442.08,11719.16756
18 Jan 2021 5:0:0,35108.27,36278.68,34800,36104.61,9931.587621
18 Jan 2021 1:0:0,35824.99,36208,34842.99,35106.25,12865.201223
17 Jan 2021 21:0:0,35633.9,36852.5,35506,35828.61,11388.103808
17 Jan 2021 17:0:0,35728.47,36166.47,35514.99,35633.91,9298.406284
