time,open,high,low,close,volume
30 Jan 2021 23:45:0,34619.05,34633.16,34516.78,34526.13,544.341039
30 Jan 2021 23:30:0,34563.55,34665.93,34538,34619.04,350.756237
30 Jan 2021 23:15:0,34692.15,34714.45,34543.69,34564.43,319.679014
30 Jan 2021 23:0:0,34675.53,34800,34521.45,34692.14,880.016321
30 Jan 2021 22:45:0,34350,34690,34323.98,34675.53,699.141031
30 Jan 2021 22:30:0,34217.82,34399,34160.78,34349.99,504.96937
30 Jan 2021 22:15:0,34142.16,34239.69,33966.4,34217.82,495.739379
30 Jan 2021 22:0:0,34157.5,34200,34122.1,34142.16,388.108175
30 Jan 2021 21:45:0,34255.53,34330,34080,34154.63,513.097815
30 Jan 2021 21:30:0,34399.04,34420.77,34245,34255.53,385.905247
30 Jan 2021 21:15:0,34346.23,34449.69,34150.01,34399.04,660.651846
30 Jan 2021 21:0:0,34286.5,34371.07,34269.94,34346.23,458.838564
30 Jan 2021 20:45:0,34239.96,34340,34226.78,34286.5,461.068558
30 Jan 2021 20:30:0,34130.48,34280,34092.64,34239.97,430.982503
30 Jan 2021 20:15:0,34354.37,34358.33,34028.87,34130.47,568.536518
30 Jan 2021 20:0:0,34340,34400.02,34290.83,34358.32,587.357302
30 Jan 2021 19:45:0,34173.52,34350,34159.46,34340,387.535285
30 Jan 2021 19:30:0,34269.38,34294.52,34132.77,34173.51,632.184196
30 Jan 2021 19:15:0,34206.82,34351,34206.82,34273.68,567.823198
30 Jan 2021 19:0:0,34252.02,34333.33,34110.12,34207.9,671.205199
30 Jan 2021 18:45:0,34096.2,34272.77,34080,34253.67,755.783682
30 Jan 2021 18:30:0,34190.24,34227.79,34048.64,34096.2,605.333898
30 Jan 2021 18:15:0,34098.6,34290.44,34008.71,34190.24,947.622248
30 Jan 2021 18:0:0,33956.7,34199.74,33943,34098.6,1024.068077
30 Jan 2021 17:45:0,33823.26,34031.1,33793.77,33956.7,1157.455175
30 Jan 2021 17:30:0,33544.45,33877.48,33540.41,33823.26,1248.838078
30 Jan 2021 17:15:0,33758.75,33895.07,33520,33543.02,1614.930698
30 Jan 2021 17:0:0,34210.18,34262.35,33674.53,33758.75,1568.730826
30 Jan 2021 16:45:0,34321.79,34500,34175,34210.2,1036.883563
30 Jan 2021 16:30:0,34221.05,34350,34160.57,34321.78,723.252465
30 Jan 2021 16:15:0,34065.97,34274.13,34057.22,34221.04,650.862997
30 Jan 2021 16:0:0,34234.73,34299,34057.44,34065.97,548.943653
30 Jan 2021 15:45:0,34081.86,34237,34081.83,34234.73,606.317075
30 Jan 2021 15:30:0,34138.53,34250,34000,34081.86,772.965088
30 Jan 2021 15:15:0,34195.81,34232.9,34086.77,34139.3,726.825363
30 Jan 2021 15:0:0,34237.69,34400,34109.98,34195.81,891.662348
30 Jan 2021 14:45:0,33818.75,34349.63,33815,34237.69,1090.740471
30 Jan 2021 14:30:0,33902.82,34016.72,33786.11,33818.75,608.031309
30 Jan 2021 14:15:0,33750.01,33982.58,33740.02,33902.81,763.46686
30 Jan 2021 14:0:0,33751.77,33869.06,33666.67,33750.04,557.136519
30 Jan 2021 13:45:0,33664.26,33832.78,33610,33751.77,544.312729
30 Jan 2021 13:30:0,33498.66,33771.14,33478.47,33664.26,724.367682
30 Jan 2021 13:15:0,33769.37,33774.38,33410.63,33498.66,782.14005
30 Jan 2021 13:0:0,33660.4,33816.81,33470.07,33769.37,952.603292
30 Jan 2021 12:45:0,33793.75,33888,33510,33660.4,1006.251257
30 Jan 2021 12:30:0,34163.26,34184.2,33623.93,33793.58,1210.047368
30 Jan 2021 12:15:0,34087.97,34280.32,33926.51,34163.26,762.851632
30 Jan 2021 12:0:0,34299.82,34328.59,34060.88,34087.97,667.722122
30 Jan 2021 11:45:0,34254.15,34392,34127.63,34299.82,1138.391971
30 Jan 2021 11:30:0,34025.32,34279.23,34007.39,34254.16,920.780418
30 Jan 2021 11:15:0,33976.24,34117.01,33870.95,34025.32,821.341714
30 Jan 2021 11:0:0,34253.17,34372.84,33872.29,33976.25,1091.286689
30 Jan 2021 10:45:0,34189.55,34355.51,34137.89,34253.18,666.682249
30 Jan 2021 10:30:0,34094.28,34284.23,34001.59,34188.55,698.913297
30 Jan 2021 10:15:0,34304.09,34311.74,34026.21,34092.65,705.480693
30 Jan 2021 10:0:0,33883.85,34424.7,33809.39,34304.09,1315.736496
30 Jan 2021 9:45:0,34023.63,34092.34,33775.44,33887.5,1010.618176
30 Jan 2021 9:30:0,34226.29,34243.58,34004,34023.63,962.649174
30 Jan 2021 9:15:0,34256.28,34324.53,34091.63,34226.28,1455.121836
30 Jan 2021 9:0:0,34046.82,34358.97,34022.97,34258,1471.631708
30 Jan 2021 8:45:0,33518.95,34200,33463.43,34046.8,1495.666212
30 Jan 2021 8:30:0,33808.34,33843.41,33400,33518.95,878.984498
30 Jan 2021 8:15:0,33674.59,33924.8,33650,33808.33,874.840857
30 Jan 2021 8:0:0,33809.79,33833.03,33666,33674.59,618.427258
30 Jan 2021 7:45:0,33295.32,33850,33258.21,33809.79,973.456273
30 Jan 2021 7:30:0,33435.77,33558.98,33284.55,33290.02,748.939224
30 Jan 2021 7:15:0,33216.72,33494.64,33199.79,33439.6,820.228403
30 Jan 2021 7:0:0,33503.72,33594.21,33137.8,33214.28,1142.369943
30 Jan 2021 6:45:0,33766.11,33885.53,33469.38,33503.72,691.224826
30 Jan 2021 6:30:0,33520.9,33986.4,33330.36,33766.11,1440.345569
30 Jan 2021 6:15:0,33499.99,33588.88,33388.79,33517.56,651.660084
30 Jan 2021 6:0:0,33503.14,33561.2,33174.55,33500,855.234078
30 Jan 2021 5:45:0,33591.85,33656.08,33346.09,33503.13,907.811347
30 Jan 2021 5:30:0,33466.21,33592.4,33260,33589.32,657.670598
30 Jan 2021 5:15:0,33367.97,33588,33150.06,33466.21,1179.974522
30 Jan 2021 5:0:0,33273.36,33485,33001.52,33367.97,1440.480256
